Name,Price,Rarity
(+1) Weapon,700 gp,Uncommon
(+2) Weapon,"2,000 gp",Rare
(+3) Weapon,"8,000 gp",Very Rare
(+1) Armor,"1,000 gp",Rare
(+2) Armor,"5,000 gp",Very Rare
(+3) Armor,"30,000 gp",Legendary
(+1) Shield,500 gp,Uncommon
(+2) Shield,"2,000 gp",Rare
(+3) Shield,"20,000 gp",Legendary
Vicious Weapon,"1,000 gp",Rare
Sword of Life-Stealing,"1,000 gp",Rare
Sword of Sharpness,"1,200 gp",Rare
Scimitar of Speed,"5,000 gp",Very Rare
Dancing Sword,"5,000 gp",Very Rare
Sword of Wounding,"2,000 gp",Rare
Flame Tongue,"3,000 gp",Rare
Defender,"20,000 gp",Legendary
Frost Brand,"2,000 gp",Very Rare
Nine Lives Stealer (Fully Charged),"7,000 gp",Very Rare
Sunblade,"5,000 gp",Rare
Dwarven Thrower,"6,000 gp",Very Rare
Hammer of Thunderbolts,"8,000 gp",Legendary
Holy Avenger,"90,000 gp",Legendary
Sword of Answering,"30,000 gp",Legendary
Efreeti Chain,"50,000 gp",Legendary
Javelin of Lightning,150 gp,Uncommon
Dagger of Venom,800 gp,Rare
Vorpal Sword,"20,000 gp",Legendary
Weapon of Warning,400 gp,Uncommon
Dragon Slayer,"2,000 gp",Rare
Oathbow,"4,500 gp",Very Rare
Giant Slayer,"1,200 gp",Rare
Mace of Smiting,"1,500 gp",Rare
Mace of Disruption,"3,000 gp",Rare
Mace of Terror,"2,000 gp",Rare
Ioun Stone Protection,"1,200 gp",Rare
Ioun Stone Reserve,"1,0500 gp",Rare
Ioun Stone Agility,"3,000 gp",Very Rare
Ioun Stone Fortitude,"3,000 gp",Very Rare
Ioun Stone Insight,"3,000 gp",Very Rare
Ioun Stone Intellect,"3,000 gp",Very Rare
Ioun Stone Leadership,"3,000 gp",Very Rare
Ioun Stone Strength,"3,000 gp",Very Rare
Ioun Stone Regeneration,"5,000 gp",Legendary
Ioun Stone Awareness,500 gp,Rare
Ioun Stone Mastery,"8,000 gp",Legendary
Staff of Withering,800 gp,Rare
Staff of Thunder and Lightning,"4,500 gp",Very Rare
Staff of the Adder,200 gp,Uncommon
Staff of Striking,"10,000 gp",Very Rare
Staff of Fire,"15,000 gp",Very Rare
Staff of Swarming Insects,"2,000 gp",Rare
Staff of Charming,550 gp,Rare
Staff of Healing,"3,000 gp",Rare
Staff of Frost,"20,000 gp",Very Rare
Staff of Power,"60,500 gp",Very Rare
Staff of the Woodlands,"2,000 gp",Rare
