Name,Price,Rarity
Helm of Comprehend Languages,500 gp,Uncommon
Driftglobe,300 gp,Uncommon
Trident of Fish Command,400 gp,Uncommon
Cap of Water Breathing,400 gp,Uncommon
Eversmoking Bottle,200 gp,Uncommon
Quiver of Ehlonna,250 gp,Uncommon
Ioun Stone Sustenance,"1,000 gp",Rare
Necklace of Adaption,800 gp,Uncommon
Goggles of Night,750 gp,Uncommon
Horseshoes of the Zephyr,"1,500 gp",Very Rare
Wand of Magic Detection,500 gp,Uncommon
Wand of Secrets,250 gp,Uncommon
Gloves of Swimming and Climbing,500 gp,Uncommon
Heward's Handy Haversack,350 gp,Rare
Rope of Climbing,350 gp,Uncommon
Boots of Elvenkind,275 gp,Uncommon
Eyes of Minute Seeing,150 gp,Uncommon
Eyes of the Eagle,250 gp,Uncommon
Dimensional Shackles,"1,500 gp",Rare
Eyes of Charming,900 gp,Uncommon
Portable Hole,"4,000 gp",Rare
Bag of Holding,500 gp,Uncommon
Boots of Levitation,"2,000 gp",Rare
Boots of Striding and Springing,400 gp,Uncommon
Cloak of Arachnida,"5,000 gp",Very Rare
Cloak of Elvenkind,500 gp,Uncommon
Gloves of Thievery,300 gp,Uncommon
Hat of Disguise,"1,000 gp",Uncommon
Horseshoes of Speed,500 gp,Rare
Immovable Rod,200 gp,Uncommon
Lantern of Revealing,"1,000 gp",Uncommon
Periapt of Health,"1,000 gp",Uncommon
Periapt of Proof Against Poison,"1,500 gp",Rare
Slippers of Spider Climbing,500 gp,Uncommon
Cloak of the Bat,"1,300 gp",Rare
Cloak of the Manta Ray,800 gp,Uncommon
Cape of the Mountebank,"1,250 gp",Rare
Talisman of the Sphere,"20,000 gp",Legendary
Apparatus of Kwalish,"10,000 gp",Legendary
Boots of the Winterlands,350 gp,Uncommon
Folding Boat,"5,000 gp",Rare
Helm of Telepathy,"1,000 gp",Uncommon
Cube of Force,"5,000 gp",Rare
Rod of Rulership,"4,500 gp",Rare
Mirror of Life Trapping,"18,000 gp",Very Rare
Amulet of Proof Against Detection and Location,"1,000 gp",Uncommon
Medallion of Thoughts,700 gp,Uncommon
Alchemy Jug,450 gp,Uncommon
Sending Stones,200 gp,Uncommon
Cubic Gate,"40,000 gp",Legendary
Crystal Ball,"50,000 gp",Very Rare
Daern's Instant Fortress,"5,000 gp",Rare
Cloak of Invisibility,"50,000 gp",Legendary
Decanter of Endless Water,500 gp,Uncommon
Amulet of the Planes,"90,000 gp",Very Rare
Gem of Seeing,800 gp,Rare
Ring of Mind Shielding,"2,000 gp",Uncommon
Ring of Invisibility,"10,000 gp",Legendary
Ring of X-Ray Vision,"3,000 gp",Rare
Ring of Telekinesis,"4,800 gp",Very Rare
Ring of Three Wishes,"150,000 gp",Legendary
Ring of Air Elemental Command,"35,000 gp",Legendary
Ring of Earth Elemental Command,"31,000 gp",Legendary
Ring of Animal Influence,"1,350 gp",Rare
Ring of Swimming,300 gp,Uncommon
Ring of Jumping,500 gp,Uncommon
Ring of Water Walking,450 gp,Uncommon
Ring of Warmth,350 gp,Uncommon
Broom of Flying,"2,000 gp",Uncommon
Wings of Flying,"5,000 gp",Rare
Winged Boots,"4,000 gp",Uncommon
Carpet of Flying 3x5,"8,000 gp",Very Rare
Carpet of Flying 4x6,"16,000 gp",Very Rare
Carpet of Flying 5x7,"24,000 gp",Very Rare
Carpet of Flying 6x9,"32,000 gp",Very Rare
Rod of Ressurection,"50,000 gp",Legendary
